date,state_long,coral_id,sample_id,sample#,state_short,rep,done,spec,site,comment
16.04.24,Fully bleached,ESAL009,3ESAL009P,26,B,1,done?,AL,E,
17.04.24,Fully bleached,ESAL022,3ESAL022P,59,B,2,done?,AL,E,
17.04.24,Fully bleached,ESAL025,3ESAL025P,60,B,3,done?,AL,E,
17.04.24,Fully bleached,ESAL030,3ESAL030P,39,B,4,done?,AL,E,
16.04.24,Partially Dead,ESAL082,3ESAL082P,22,B,5,done?,AL,E,
17.04.24,Fully bleached,ESAL089,3ESAL089P,38,B,6,done?,AL,E,
17.04.24,Fully bleached,ESAL091,3ESAL091P,52,B,7,done?,AL,E,
17.04.24,Fully bleached,ESAL097,3ESAL097P,57,B,8,to do REDO,AL,E,
17.04.24,Fully bleached,ESAL092,3ESAL092P,53,B,9,done?,AL,E,
17.04.24,Fully bleached,ESAL093,3ESAL093P,54,B,10,done?,AL,E,
16.04.24,Partly bleached,ESAL001,3ESAL001P,24,H,1,done?,AL,E,
15.04.24,Partly bleached,ESAL012,3ESAL012P,13,H,2,done?,AL,E,
15.04.24,Partly bleached,ESAL013,3ESAL013P,10,H,3,done?,AL,E,
22.04.24,Partly bleached,ESAL071,3ESAL071P,72,H,4,done?,AL,E,
22.04.24,Partly bleached,ESAL072,3ESAL072P,73,H,5,done?,AL,E,
22.04.24,Partly bleached,ESAL073,3ESAL073P,74,H,6,done?,AL,E,
22.04.24,Partly bleached,ESAL074,3ESAL074P,75,H,7,done?,AL,E,
22.04.24,Partly bleached,ESAL075,3ESAL075P,76,H,8,done?,AL,E,
16.04.24,Partly bleached,ESAL081,3ESAL081P,23,H,9,done?,AL,E,
16.04.24,Partly bleached,ESAL083,3ESAL083P,21,H,10,done?,AL,E,
29.04.24,Healthy,ESML004,3ESML004P,154,H,1,done?,ML,E,
02.05.24,Healthy,ESML016,3ESML016P,212,H,2,done?,ML,E,
30.04.24,Healthy,ESML034,3ESML034P,203,H,3,done?,ML,E,
30.04.24,Healthy,ESML057,3ESML057P,200,H,4,done?,ML,E,
30.04.24,Healthy,ESML058,3ESML058P,201,H,5,done?,ML,E,
30.04.24,Healthy,ESML059,3ESML059P,202,H,6,done?,ML,E,
30.04.24,Healthy,ESML060,3ESML060P,204,H,7,done?,ML,E,
30.04.24,Healthy,ESML061,3ESML061P,205,H,8,done?,ML,E,
30.04.24,Healthy,ESML062,3ESML062P,206,H,9,done?,ML,E,
30.04.24,Healthy,ESML063,3ESML063P,207,H,10,done?,ML,E,
