"id","position","abs_663","abs_630","abs_750","abs_470","abs_646","blank_corrected_abs_663","blank_corrected_abs_630","blank_corrected_abs_750","blank_corrected_abs_470","blank_corrected_abs_646"
"BLK","A1",0.081,0.081,0.079,0.087,0.081,"-0.000","-0.000","-0.000","-0.000","-0.000"
"","A2",0.081,0.081,0.079,0.088,0.081,"0.000","0.000","0.000","0.000","0.000"
"SPL1","A3",0.968,0.297,0.073,1.801,0.305,"0.887","0.216","-0.006","1.713","0.224"
"","A4",0.969,0.3,0.076,1.805,0.308,"0.889","0.219","-0.003","1.717","0.227"
"SPL2","A5",0.746,0.235,0.079,1.115,0.256,"0.665","0.154","0.000","1.028","0.176"
"","A6",0.746,0.235,0.08,1.118,0.257,"0.665","0.154","0.001","1.030","0.177"
"SPL3","A7",0.846,0.241,0.08,1.431,0.271,"0.765","0.160","0.001","1.343","0.191"
"","A8",0.841,0.241,0.08,1.432,0.272,"0.761","0.160","0.002","1.344","0.191"
"SPL4","A9",0.737,0.237,0.076,1.252,0.246,"0.656","0.156","-0.002","1.165","0.165"
"","A10",0.739,0.239,0.077,1.252,0.247,"0.658","0.158","-0.002","1.164","0.167"
"SPL5","A11",0.413,0.149,0.075,0.607,0.163,"0.333","0.068","-0.004","0.520","0.083"
"","A12",0.414,0.15,0.075,0.608,0.164,"0.333","0.069","-0.003","0.520","0.083"
"SPL6","B1",0.551,0.2,0.076,0.951,0.2,"0.470","0.119","-0.002","0.864","0.120"
"","B2",0.553,0.203,0.078,0.955,0.203,"0.473","0.122","-0.000","0.868","0.123"
"SPL7","B3",0.388,0.163,0.084,0.664,0.164,"0.307","0.082","0.005","0.577","0.083"
"","B4",0.389,0.165,0.085,0.667,0.166,"0.309","0.084","0.007","0.580","0.085"
"SPL8","B5",1.136,0.314,0.081,2.002,0.349,"1.056","0.232","0.002","1.914","0.268"
"","B6",1.136,0.315,0.082,2.004,0.351,"1.056","0.234","0.004","1.917","0.270"
"SPL9","B7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","B8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL10","B9",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","B10",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"BLK","B11",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","B12",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL11","C1",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","C2",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL12","C3",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","C4",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL13","C5",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","C6",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL14","C7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","C8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL15","C9",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","C10",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL16","C11",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","C12",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL17","D1",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","D2",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL18","D3",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","D4",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL19","D5",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","D6",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL20","D7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","D8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"BLK","D9",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","D10",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL21","D11",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","D12",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL22","E1",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E2",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL23","E3",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E4",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL24","E5",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E6",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"BLK","E7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
