"id","position","abs_663","abs_630","abs_750","abs_470","abs_646","blank_corrected_abs_663","blank_corrected_abs_630","blank_corrected_abs_750","blank_corrected_abs_470","blank_corrected_abs_646"
"BLK","A1",0.071,0.071,0.071,0.072,0.071,"0.001","0.002","0.002","0.001","0.002"
"","A2",0.071,0.071,0.071,0.072,0.071,"0.001","0.002","0.002","0.001","0.001"
"SPL1","A3",0.096,0.079,0.074,0.115,0.08,"0.027","0.010","0.004","0.044","0.010"
"","A4",0.096,0.079,0.074,0.115,0.08,"0.027","0.009","0.004","0.044","0.010"
"SPL2","A5",0.093,0.081,0.075,0.103,0.08,"0.023","0.011","0.005","0.033","0.011"
"","A6",0.093,0.081,0.075,0.103,0.08,"0.023","0.011","0.006","0.033","0.011"
"SPL3","A7",0.125,0.083,0.069,0.155,0.084,"0.055","0.013","-0.000","0.084","0.014"
"","A8",0.125,0.083,0.069,0.155,0.084,"0.055","0.013","-0.000","0.084","0.015"
"SPL4","A9",0.175,0.092,0.073,0.239,0.1,"0.106","0.023","0.003","0.168","0.031"
"","A10",0.175,0.092,0.073,0.239,0.1,"0.106","0.023","0.003","0.168","0.031"
"SPL5","A11",0.214,0.101,0.07,0.282,0.108,"0.145","0.031","0.000","0.211","0.039"
"","A12",0.214,0.101,0.07,0.282,0.108,"0.145","0.031","0.000","0.211","0.039"
"SPL6","B1",0.107,0.078,0.07,0.137,0.082,"0.038","0.008","0.001","0.066","0.012"
"","B2",0.107,0.078,0.07,0.136,0.082,"0.038","0.009","0.001","0.066","0.012"
"SPL7","B3",0.138,0.087,0.069,0.186,0.087,"0.069","0.018","-0.000","0.115","0.018"
"","B4",0.138,0.087,0.069,0.186,0.088,"0.068","0.018","-0.000","0.115","0.018"
"SPL8","B5",0.079,0.072,0.069,0.087,0.071,"0.009","0.003","-0.000","0.017","0.002"
"","B6",0.079,0.072,0.069,0.087,0.072,"0.009","0.003","-0.000","0.017","0.002"
"SPL9","B7",0.125,0.082,0.07,0.156,0.085,"0.056","0.012","0.000","0.085","0.016"
"","B8",0.125,0.082,0.069,0.156,0.085,"0.056","0.012","-0.000","0.085","0.016"
"SPL10","B9",0.081,0.076,0.07,0.1,0.073,"0.012","0.006","0.000","0.029","0.004"
"","B10",0.081,0.076,0.07,0.097,0.073,"0.011","0.006","0.000","0.026","0.004"
"BLK","B11",0.069,0.069,0.069,0.07,0.068,"-0.001","-0.001","-0.001","-0.001","-0.001"
"","B12",0.068,0.069,0.069,0.07,0.068,"-0.001","-0.001","-0.001","-0.001","-0.001"
