id,position,abs_663,abs_630,abs_750,abs_470,abs_646,blank_corrected_abs_663,blank_corrected_abs_630,blank_corrected_abs_750,blank_corrected_abs_470,blank_corrected_abs_646
BLK,A1,0.071,0.070,0.070,0.075,0.070,-0.000,-0.000,0.000,-0.000,-0.000
,A2,0.071,0.071,0.070,0.075,0.070,0.000,0.000,0.000,0.000,0.000
SPL1,A3,0.931,0.238,0.068,1.444,0.292,0.860,0.168,-0.002,1.369,0.222
,A4,0.931,0.239,0.068,1.445,0.292,0.860,0.168,-0.002,1.370,0.222
SPL2,A5,0.930,0.239,0.068,1.443,0.292,0.859,0.169,-0.002,1.368,0.222
,A6,0.796,0.214,0.069,1.194,0.255,0.725,0.144,-0.001,1.118,0.184
SPL3,A7,0.798,0.215,0.069,1.198,0.256,0.727,0.145,-0.001,1.122,0.186
,A8,0.808,0.220,0.064,1.236,0.253,0.737,0.150,-0.006,1.161,0.183
SPL4,A9,0.807,0.220,0.065,1.235,0.253,0.736,0.150,-0.005,1.160,0.183
,A10,1.579,0.363,0.067,2.439,0.459,1.508,0.292,-0.003,2.363,0.388
SPL5,A11,1.575,0.362,0.067,2.437,0.459,1.504,0.292,-0.003,2.361,0.389
,A12,,,,,,?????,?????,?????,?????,?????
SPL6,B1,,,,,,?????,?????,?????,?????,?????
,B2,,,,,,?????,?????,?????,?????,?????
SPL7,B3,,,,,,?????,?????,?????,?????,?????
,B4,,,,,,?????,?????,?????,?????,?????
SPL8,B5,,,,,,?????,?????,?????,?????,?????
,B6,,,,,,?????,?????,?????,?????,?????
SPL9,B7,,,,,,?????,?????,?????,?????,?????
,B8,,,,,,?????,?????,?????,?????,?????
SPL10,B9,,,,,,?????,?????,?????,?????,?????
,B10,,,,,,?????,?????,?????,?????,?????
BLK,B11,,,,,,?????,?????,?????,?????,?????
,B12,,,,,,?????,?????,?????,?????,?????
SPL11,C1,,,,,,?????,?????,?????,?????,?????
,C2,,,,,,?????,?????,?????,?????,?????
SPL12,C3,,,,,,?????,?????,?????,?????,?????
,C4,,,,,,?????,?????,?????,?????,?????
SPL13,C5,,,,,,?????,?????,?????,?????,?????
,C6,,,,,,?????,?????,?????,?????,?????
SPL14,C7,,,,,,?????,?????,?????,?????,?????
,C8,,,,,,?????,?????,?????,?????,?????
SPL15,C9,,,,,,?????,?????,?????,?????,?????
,C10,,,,,,?????,?????,?????,?????,?????
SPL16,C11,,,,,,?????,?????,?????,?????,?????
,C12,,,,,,?????,?????,?????,?????,?????
SPL17,D1,,,,,,?????,?????,?????,?????,?????
,D2,,,,,,?????,?????,?????,?????,?????
SPL18,D3,,,,,,?????,?????,?????,?????,?????
,D4,,,,,,?????,?????,?????,?????,?????
SPL19,D5,,,,,,?????,?????,?????,?????,?????
,D6,,,,,,?????,?????,?????,?????,?????
SPL20,D7,,,,,,?????,?????,?????,?????,?????
,D8,,,,,,?????,?????,?????,?????,?????
BLK,D9,,,,,,?????,?????,?????,?????,?????
,D10,,,,,,?????,?????,?????,?????,?????
SPL21,D11,,,,,,?????,?????,?????,?????,?????
,D12,,,,,,?????,?????,?????,?????,?????
SPL22,E1,,,,,,?????,?????,?????,?????,?????
,E2,,,,,,?????,?????,?????,?????,?????
SPL23,E3,,,,,,?????,?????,?????,?????,?????
,E4,,,,,,?????,?????,?????,?????,?????
SPL24,E5,,,,,,?????,?????,?????,?????,?????
,E6,,,,,,?????,?????,?????,?????,?????
SPL25,E7,,,,,,?????,?????,?????,?????,?????
,E8,,,,,,?????,?????,?????,?????,?????
SPL26,E9,,,,,,?????,?????,?????,?????,?????
,E10,,,,,,?????,?????,?????,?????,?????
SPL27,E11,,,,,,?????,?????,?????,?????,?????
,E12,,,,,,?????,?????,?????,?????,?????
SPL28,F1,,,,,,?????,?????,?????,?????,?????
,F2,,,,,,?????,?????,?????,?????,?????
SPL29,F3,,,,,,?????,?????,?????,?????,?????
,F4,,,,,,?????,?????,?????,?????,?????
SPL30,F5,,,,,,?????,?????,?????,?????,?????
,F6,,,,,,?????,?????,?????,?????,?????
BLK,F7,,,,,,?????,?????,?????,?????,?????
