id,position,abs_663,abs_630,abs_750,abs_470,abs_646,blank_corrected_abs_663,blank_corrected_abs_630,blank_corrected_abs_750,blank_corrected_abs_470,blank_corrected_abs_646
BLK,A1,0.067,0.068,0.068,0.069,0.067,0.003,0.003,0.003,0.003,0.003
,A2,0.067,0.068,0.068,0.069,0.067,0.003,0.003,0.003,0.003,0.003
SPL1,A3,0.086,0.072,0.068,0.104,0.074,0.022,0.008,0.003,0.038,0.009
,A4,0.086,0.072,0.068,0.104,0.074,0.022,0.007,0.003,0.038,0.009
SPL2,A5,0.082,0.069,0.065,0.097,0.071,0.018,0.004,-0.000,0.030,0.006
,A6,0.082,0.069,0.065,0.096,0.070,0.017,0.004,-0.000,0.030,0.006
SPL3,A7,0.080,0.072,0.070,0.085,0.072,0.015,0.007,0.005,0.019,0.007
,A8,0.080,0.072,0.070,0.086,0.072,0.015,0.007,0.004,0.019,0.008
SPL4,A9,0.080,0.071,0.068,0.088,0.071,0.015,0.006,0.003,0.022,0.007
,A10,0.080,0.071,0.068,0.088,0.071,0.016,0.006,0.003,0.022,0.007
SPL5,A11,0.074,0.068,0.066,0.078,0.068,0.009,0.003,0.001,0.012,0.004
,A12,0.074,0.068,0.066,0.078,0.068,0.009,0.003,0.001,0.012,0.003
SPL6,B1,0.096,0.070,0.063,0.116,0.072,0.031,0.005,-0.002,0.050,0.007
,B2,0.096,0.070,0.063,0.116,0.072,0.031,0.005,-0.002,0.050,0.007
SPL7,B3,0.085,0.068,0.064,0.102,0.070,0.020,0.003,-0.001,0.036,0.005
,B4,0.085,0.068,0.064,0.102,0.070,0.020,0.003,-0.001,0.036,0.005
SPL8,B5,0.088,0.071,0.068,0.103,0.074,0.023,0.007,0.003,0.036,0.009
,B6,0.088,0.071,0.068,0.103,0.074,0.023,0.007,0.003,0.036,0.009
SPL9,B7,0.099,0.074,0.068,0.129,0.077,0.034,0.009,0.002,0.063,0.012
,B8,0.098,0.073,0.068,0.129,0.077,0.034,0.008,0.003,0.063,0.013
SPL10,B9,0.075,0.066,0.064,0.084,0.067,0.010,0.001,-0.001,0.017,0.003
,B10,0.075,0.066,0.064,0.084,0.067,0.010,0.001,-0.001,0.017,0.003
BLK,B11,0.062,0.062,0.063,0.063,0.062,-0.003,-0.003,-0.002,-0.003,-0.003
