id,position,abs_663,abs_630,abs_750,abs_470,abs_646,blank_corrected_abs_663,blank_corrected_abs_630,blank_corrected_abs_750,blank_corrected_abs_470,blank_corrected_abs_646
BLK,A1,0.063,0.062,0.062,0.064,0.062,-0.008,-0.002,-0.000,-0.013,-0.002
,A2,0.063,0.062,0.062,0.064,0.062,-0.008,-0.002,0.000,-0.013,-0.002
SPL1,A3,0.077,0.066,0.064,0.087,0.067,0.006,0.002,0.002,0.010,0.003
,A4,0.077,0.067,0.064,0.088,0.067,0.007,0.003,0.002,0.011,0.003
SPL2,A5,0.073,0.066,0.065,0.080,0.066,0.002,0.002,0.003,0.003,0.002
,A6,0.073,0.066,0.065,0.080,0.067,0.002,0.002,0.003,0.003,0.003
SPL3,A7,0.064,0.062,0.062,0.066,0.062,-0.007,-0.002,0.000,-0.011,-0.002
,A8,0.064,0.062,0.062,0.066,0.062,-0.007,-0.002,0.000,-0.011,-0.002
SPL4,A9,0.068,0.063,0.062,0.074,0.064,-0.002,-0.001,-0.000,-0.003,-0.000
,A10,0.068,0.063,0.062,0.074,0.063,-0.002,-0.001,-0.000,-0.003,-0.001
SPL5,A11,0.067,0.064,0.063,0.070,0.064,-0.004,-0.000,0.001,-0.007,-0.000
,A12,0.066,0.064,0.063,0.070,0.064,-0.004,-0.000,0.001,-0.007,-0.000
SPL6,B1,0.064,0.063,0.062,0.068,0.062,-0.006,-0.001,-0.000,-0.009,-0.002
,B2,0.064,0.063,0.062,0.067,0.062,-0.006,-0.001,-0.000,-0.009,-0.002
SPL7,B3,0.071,0.063,0.061,0.077,0.064,0.000,-0.001,-0.000,0.000,-0.000
,B4,0.070,0.063,0.061,0.077,0.064,0.000,-0.001,-0.000,0.000,-0.000
SPL8,B5,0.071,0.063,0.061,0.078,0.064,0.001,-0.000,-0.000,0.002,-0.000
,B6,0.071,0.063,0.061,0.078,0.064,0.001,-0.001,-0.001,0.002,-0.000
SPL9,B7,0.063,0.062,0.062,0.065,0.062,-0.007,-0.002,0.000,-0.011,-0.002
,B8,0.063,0.062,0.062,0.065,0.062,-0.007,-0.002,0.000,-0.011,-0.002
SPL10,B9,0.076,0.066,0.063,0.086,0.067,0.006,0.002,0.001,0.009,0.003
,B10,0.076,0.066,0.063,0.086,0.068,0.006,0.002,0.001,0.009,0.004
BLK,B11,0.061,0.062,0.062,0.063,0.061,-0.009,-0.002,-0.000,-0.014,-0.003
,B12,0.061,0.061,0.062,0.063,0.061,-0.009,-0.002,-0.000,-0.014,-0.003
SPL11,C1,0.075,0.066,0.063,0.084,0.066,0.005,0.002,0.001,0.007,0.002
,C2,0.075,0.066,0.063,0.083,0.066,0.005,0.002,0.001,0.006,0.002
SPL12,C3,0.073,0.066,0.065,0.079,0.067,0.003,0.002,0.003,0.003,0.003
,C4,0.073,0.066,0.065,0.079,0.067,0.003,0.002,0.003,0.003,0.003
SPL13,C5,0.076,0.067,0.065,0.084,0.068,0.006,0.003,0.003,0.007,0.004
,C6,0.076,0.067,0.064,0.084,0.067,0.006,0.003,0.002,0.007,0.003
SPL14,C7,0.063,0.062,0.062,0.066,0.062,-0.007,-0.001,0.001,-0.011,-0.002
,C8,0.063,0.063,0.063,0.066,0.062,-0.007,-0.001,0.001,-0.011,-0.002
SPL15,C9,0.083,0.069,0.066,0.094,0.071,0.013,0.005,0.004,0.018,0.007
,C10,0.083,0.069,0.066,0.094,0.071,0.013,0.005,0.004,0.018,0.007
SPL16,C11,0.100,0.068,0.061,0.132,0.071,0.029,0.004,-0.001,0.056,0.007
,C12,0.099,0.068,0.061,0.132,0.071,0.029,0.004,-0.001,0.056,0.007
SPL17,D1,0.073,0.065,0.061,0.082,0.065,0.003,0.001,-0.000,0.005,0.001
