id,position,abs_663,abs_630,abs_750,abs_470,abs_646,blank_corrected_abs_663,blank_corrected_abs_630,blank_corrected_abs_750,blank_corrected_abs_470,blank_corrected_abs_646
BLK,A1,1.048,1.049,1.028,1.068,1.042,0.376,0.376,0.359,0.380,0.371
,A2,1.039,1.042,1.022,1.062,1.034,0.367,0.369,0.353,0.374,0.363
SPL1,A3,0.128,0.118,0.115,0.140,0.119,-0.544,-0.555,-0.554,-0.548,-0.552
,A4,0.138,0.127,0.125,0.149,0.129,-0.534,-0.546,-0.544,-0.538,-0.542
SPL2,A5,1.020,1.023,0.999,1.046,1.015,0.348,0.350,0.330,0.359,0.344
,A6,1.016,1.018,0.997,1.042,1.009,0.344,0.345,0.328,0.354,0.338
SPL3,A7,0.576,0.564,0.564,0.601,0.566,-0.096,-0.109,-0.105,-0.087,-0.105
,A8,0.583,0.571,0.572,0.609,0.574,-0.089,-0.102,-0.097,-0.078,-0.097
SPL4,A9,1.060,1.062,1.042,1.088,1.058,0.388,0.389,0.374,0.401,0.387
,A10,1.057,1.063,1.042,1.088,1.056,0.385,0.390,0.374,0.400,0.385
SPL5,A11,0.122,0.106,0.102,0.138,0.108,-0.550,-0.567,-0.566,-0.549,-0.563
,A12,0.123,0.107,0.104,0.139,0.110,-0.549,-0.565,-0.565,-0.548,-0.561
SPL6,B1,1.117,1.113,1.094,1.157,1.108,0.445,0.440,0.425,0.469,0.437
,B2,1.116,1.113,1.095,1.157,1.109,0.444,0.441,0.426,0.469,0.438
SPL7,B3,0.522,0.516,0.515,0.525,0.506,-0.149,-0.157,-0.154,-0.163,-0.165
,B4,0.506,0.504,0.508,0.524,0.508,-0.166,-0.168,-0.160,-0.163,-0.163
SPL8,B5,0.788,0.775,0.775,0.827,0.776,0.116,0.102,0.106,0.140,0.105
,B6,0.791,0.778,0.779,0.833,0.784,0.119,0.105,0.110,0.145,0.113
SPL9,B7,0.471,0.468,0.470,0.489,0.469,-0.201,-0.205,-0.199,-0.198,-0.202
,B8,0.475,0.472,0.475,0.495,0.474,-0.197,-0.201,-0.194,-0.193,-0.197
SPL10,B9,0.656,0.645,0.647,0.679,0.644,-0.016,-0.027,-0.022,-0.008,-0.027
,B10,0.651,0.641,0.642,0.677,0.642,-0.021,-0.032,-0.026,-0.010,-0.029
