"sampling_date","t","coral_id","sample_id","bag_number","state","filename"
"02.08.23","2","ESAL11","2ESAL11P",29,"to do","2023_08_02_2ESAL11_P8020137_JPG.rf.31e9a35f21c914599e0a9973010bb282.jpg"
"02.08.23","2","ESAL12","2ESAL12P",5,"to do","2023_08_02_2ESAL12_P8020005_JPG.rf.b443ff4b465794329a259c8b1823ac3c.jpg"
"02.08.23","2","ESAL13","2ESAL13P",21,"to do","2023_08_02_2ESAL13_P8020089_JPG.rf.7a8076b787f9da5bcaa35af190b1ca63.jpg"
"02.08.23","2","ESML11","2ESML11P",7,"to do","2023_08_02_2ESML11_P8020017_JPG.rf.5c43253f60c51f39a83fd44396987d73.jpg"
"02.08.23","2","ESML12","2ESML12P",6,"to do","2023_08_02_2ESML12_P8020011_JPG.rf.292ecc4eee123477beee3dd0771c6dbf.jpg"
"02.08.23","2","ESML14","2ESML14P",10,"to do","2023_08_02_2ESML14_P8020035_JPG.rf.c99a05a8b4502d35f940bd4fb4e11124.jpg"
"02.08.23","2","ESML15","2ESML15P",34,"to do","2023_08_02_2ESML15_P8020171_JPG.rf.559183282844d524a7ef91e88fd04c25.jpg"
"02.08.23","2","ESML16","2ESML16P",12,"to do","2023_08_02_2ESML16_P8020046_JPG.rf.bebcd6f285ecd83a6ed667dfbd7e699b.jpg"
"02.08.23","2","ESML17","2ESML17P",13,"to do","2023_08_02_2ESML17_P8020051_JPG.rf.ee536b7c41ef4f7430d48109c5e7812f.jpg"
"02.08.23","2","ESPL03","2ESPL03P",15,"to do","2023_08_02_2ESPL03_P8020065_JPG.rf.86ca760334e5c41e94b4710c81556fee.jpg"
"02.08.23","2","ESPL05","2ESPL05P",9,"to do","2023_08_02_2ESPL05_P8020025_JPG.rf.872e6cc92d6b374fb05b6ed69d197a94.jpg"
"02.08.23","2","ESPL06","2ESPL06P",14,"to do","2023_08_02_2ESPL06_P8020059_JPG.rf.61a112ddb4a20a901d4f72dc60d316ec.jpg"
"02.08.23","2","ESPL07","2ESPL07P",19,"to do","2023_08_02_2ESPL07_P8020079_JPG.rf.9c71e9937c22553cb8f363a97536ecdc.jpg"
"02.08.23","2","ESPL09","2ESPL09P",22,"to do","2023_08_02_2ESPL09_P8020095_JPG.rf.d4ed5cb071179277dc63c98319fcee3c.jpg"
"02.08.23","2","ESPL18","2ESPL18P",23,"to do","2023_08_02_2ESPL18_P8020099_JPG.rf.7f9432b98e28fd49a229b2966c36e816.jpg"
"02.08.23","2","ESPL19","2ESPL19P",25,"to do","2023_08_02_2ESPL19_P8020109_JPG.rf.2d63f5e91ba3c01c6f1cfef4d3680fda.jpg"
"02.08.23","2","ESPL22","2ESPL22P",26,"to do","2023_08_02_2ESPL22_P8020114_JPG.rf.1d4daa31d4b390829857c0cf34603040.jpg"
"02.08.23","2","ESPL23","2ESPL23P",24,"to do","2023_08_02_2ESPL23_P8020104_JPG.rf.a8269f6ac8cf6ca15c1d5aef4e113991.jpg"
"03.08.23","2","TSAL06","2TSAL06P",90,"extracted","2023_08_03_2TSAL06_P8030325_JPG.rf.32a41e9e30672b1bf72d98df83f780b2.jpg"
"03.08.23","2","TSAL07","2TSAL07P",89,"extracted","2023_08_03_2TSAL07_P8030321_JPG.rf.f42829f7f0288cc05a8dab230fba1f3d.jpg"
"03.08.23","2","TSAL09","2TSAL09P",80,"extracted","2023_08_03_2TSAL09_P8030268_JPG.rf.b63bab98a1f3b7ea4f495dbb80111a9c.jpg"
"03.08.23","2","TSML26","2TSML26P",87,"extracted","2023_08_03_2TSML26_P8030309_JPG.rf.b2a99448fbdee95d1389fa0c597332dc.jpg"
"03.08.23","2","TSML27","2TSML27P",75,"extracted","2023_08_03_2TSML27_P8030245_JPG.rf.3b553c0269e398bf5ae5d8d0c814ca6b.jpg"
"03.08.23","2","TSPL07","2TSPL07P",79,"extracted","2023_08_03_2TSPL07_P8030265_JPG.rf.fb5e3394be6295c9512a52ed5e43a338.jpg"
"04.08.23","2","ESAL16","2ESAL16P",112,"to do","2023_08_04_2ESAL16_P8040455_JPG.rf.6c06beb3477a09f31749d9fce54e7f49.jpg"
"04.08.23","2","ESAL19","2ESAL19P",109,"to do","2023_08_04_2ESAL19_P8040439_JPG.rf.df531c3e3b8448b306de9ad6a718a6e8.jpg"
"04.08.23","2","ESML04","2ESML04P",106,"extracted","2023_08_04_2ESML04_P8040425_JPG.rf.3eaa362462c69b275c945ea0bfc21e48.jpg"
"04.08.23","2","ESML05","2ESML05P",101,"to do","2023_08_04_2ESML05_P8040390_JPG.rf.df360efe0c5ae01bca4e18740387c88f.jpg"
"04.08.23","2","ESML09","2ESML09P",100,"to do","2023_08_04_2ESML09_P8040387_JPG.rf.466e742030f4379717a39ff614e10bef.jpg"
"04.08.23","2","ESPL02","2ESPL02P",94,"to do","2023_08_04_2ESPL02_P8040356_JPG.rf.389b5466660d17c93c7e746f5635449f.jpg"
"04.08.23","2","ESPL04","2ESPL04P",105,"to do","2023_08_04_2ESPL04_P8040417_JPG.rf.d730f284de473412e98b727305599d92.jpg"
"04.08.23","2","ESPL10","2ESPL10P",93,"extracted","2023_08_04_2ESPL10_P8040349_JPG.rf.49d335abb6b0e966a9b767cadde5d7ba.jpg"
"04.08.23","2","ESPL16","2ESPL16P",110,"to do","2023_08_04_2ESPL16_P8040445_JPG.rf.60cfe7596dc8a31a16d01e697eabdccb.jpg"
"04.08.23","2","ESPL20","2ESPL20P",92,"extracted","2023_08_04_2ESPL20_P8040344_JPG.rf.8b5e2879288453b3f559f2ebaa2a0346.jpg"
"04.08.23","2","ESPL21","2ESPL21P",99,"to do","2023_08_04_2ESPL21_P8040378_JPG.rf.1d87ab17acfaee8fa0cee775bf91f3d0.jpg"
"04.08.23","2","ESPL30","2ESPL30P",115,"to do","2023_08_04_2ESPL30_P8040471_JPG.rf.e5e8e22b36f1f2e9147f9c2df6d07343.jpg"
"04.08.23","2","ESPL32","2ESPL32P",108,"to do","2023_08_04_2ESPL32_P8040433_JPG.rf.580226cfdab552c08deaef7dc0a2a983.jpg"
"04.08.23","2","ESPL34","2ESPL34P",111,"to do","2023_08_04_2ESPL34_P8040449_JPG.rf.4110a5f63562449bf3b508a95e31297c.jpg"
"07.08.23","2","TSML13","2TSML13P",144,"extracted","2023_08_07_2TSML13_P8222021_JPG.rf.d3570629b3470ad149115de1d5fc0b6f.jpg"
"07.08.23","2","TSML14","2TSML14P",145,"extracted","2023_08_07_2TSML14_P8222016_JPG.rf.cf95ec05303201cb15d9b62c03b94eaa.jpg"
"07.08.23","2","TSML16","2TSML16P",157,"extracted","2023_08_07_2TSML16_P8221993_JPG.rf.8ec89a1c41ec49be4888fc4f2a047f94.jpg"
"07.08.23","2","TSML20","2TSML20P",139,"extracted","2023_08_07_2TSML20_P8232187_JPG.rf.5254640aa45402e0ae0663390c23e66b.jpg"
"07.08.23","2","TSML21","2TSML21P",133,"extracted","2023_08_07_2TSML21_P8232217_JPG.rf.4abff2e1a3d6b609ae75628ad27ebc8e.jpg"
"11.08.23","2","2TSML32","2TSML32P",254,"to do","2023_08_11_2TSML32_P8111214_JPG.rf.66edd4a4c43d37423654c0958e483bb6.jpg"
"14.08.23","2","TSML09","2TSML09P",294,"to do","2023_08_14_2TSML09_P8141422_JPG.rf.cce11e367d508caf6f7cc7c9db85b4a7.jpg"
"07.08.23","2","TSPL14","2TSPL14P",151,"extracted","2023_08_07_2TSPL14_P8232145_JPG.rf.23951c18d98f76d22a1443237a05b537.jpg"
"08.08.23","2","TSML17","2TSML17P",175,"extracted","2023_08_08_2TSML17_P8080783_JPG.rf.5ee425472ae729a6f910361798a4ffa5.jpg"
"08.08.23","2","TSML18","2TSML18P",169,"extracted","2023_08_08_2TSML18_P8080756_JPG.rf.94ed089e699437a56b3676d49632b671.jpg"
"08.08.23","2","TSML19","2TSML19P",174,"extracted","2023_08_08_2TSML19_P8080782_JPG.rf.ee5b0190258e15b402a3d46d24851248.jpg"
"08.08.23","2","TSPL03","2TSPL03P",182,"to do","2023_08_08_2TSPL03_P8080812_JPG.rf.a1765d7c99026e906ce2c7c7325e21b0.jpg"
"08.08.23","2","TSPL04","2TSPL04P",160,"extracted","2023_08_08_2TSPL04_P8080718_JPG.rf.0ab8ed9b6c2d5ab7c839c56dc731021b.jpg"
"08.08.23","2","TSPL05","2TSPL05P",163,"extracted","2023_08_08_2TSPL05_P8080730_JPG.rf.3a5934a8ed5fe9d4f14f1f5ad260d991.jpg"
"08.08.23","2","TSPL12","2TSPL12P",162,"extracted","2023_08_08_2TSPL12_P8080724_JPG.rf.37fd78e5322dedf6f06c2502cec3d45a.jpg"
"08.08.23","2","TSPL15","2TSPL15P",184,"extracted","2023_08_08_2TSPL15_P8080822_JPG.rf.641c54965d21ffb274590ebdeb49bd0a.jpg"
"08.08.23","2","TSPL22","2TSPL22P",187,"extracted","2023_08_08_2TSPL22_P8080835_JPG.rf.2a482ed07d4e9bb6af5180e4ff77a169.jpg"
