"date","state_long","coral_id","sample_id","sample.","state_short","rep","done","spec","site","comment","filename","orig"
"16.04.24","Fully bleached","ESAL009","3ESAL009P",26,"B",1,"done?","AL","E",NA,"2024_04_16_3ESAL09_P4160206_JPG.rf.44a1c7cf59e16b3a5b503a5c81e5de3f.jpg","P4160206.ORF"
"17.04.24","Fully bleached","ESAL022","3ESAL022P",59,"B",2,"done?","AL","E",NA,"2024_04_17_3ESAL22_P4170381_JPG.rf.bfb3c19b31fc5e05299b61d980f89354.jpg","P4170381.ORF"
"17.04.24","Fully bleached","ESAL025","3ESAL025P",60,"B",3,"done?","AL","E",NA,"2024_04_17_3ESAL25_P4170384_JPG.rf.cd348fce5bf4528cf4ba6657fa4672c6.jpg","P4170384.ORF"
"17.04.24","Fully bleached","ESAL030","3ESAL030P",39,"B",4,"done?","AL","E",NA,"2024_04_17_3ESAL30_P4170276_JPG.rf.d7a47daf94fba3e3f2884f5cb1090f10.jpg","P4170276.ORF"
"16.04.24","Partially Dead","ESAL082","3ESAL082P",22,"B",5,"done?","AL","E",NA,"2024_04_16_3ESAL82_P4160179_JPG.rf.654e7771b64249d76a543cf292cdc98d.jpg","P4160179.ORF"
"17.04.24","Fully bleached","ESAL089","3ESAL089P",38,"B",6,"done?","AL","E",NA,"2024_04_17_3ESAL89_P4170273_JPG.rf.338a0aa728cae61e357e64cd74338471.jpg","P4170273.ORF"
"17.04.24","Fully bleached","ESAL091","3ESAL091P",52,"B",7,"done?","AL","E",NA,"2024_04_17_3ESAL91_P4170329_JPG.rf.abe9eee0f40816f3a42ea581db00c722.jpg","P4170329.ORF"
"17.04.24","Fully bleached","ESAL097","3ESAL097P",57,"B",8,"to do REDO","AL","E",NA,"2024_04_17_3ESAL97_P4170366_JPG.rf.194fa8455772276e0c47122b0fc4ea6e.jpg","P4170366.ORF"
"17.04.24","Fully bleached","ESAL092","3ESAL092P",53,"B",9,"done?","AL","E",NA,"2024_04_17_3ESAL92_P4170336_JPG.rf.c064cabe0376d6049c013c3e11eb3c09.jpg","P4170336.ORF"
"17.04.24","Fully bleached","ESAL093","3ESAL093P",54,"B",10,"done?","AL","E",NA,"2024_04_17_3ESAL093_P4170340_jpeg.rf.c980a7e16774a9251af4f6461319532f.jpg","P4170340.ORF"
"16.04.24","Partly bleached","ESAL001","3ESAL001P",24,"H",1,"done?","AL","E",NA,"2024_04_16_3ESAL01_P4160186_JPG.rf.47b662a254c29719ea2b7f35d5045366.jpg","P4160186.ORF"
"15.04.24","Partly bleached","ESAL012","3ESAL012P",13,"H",2,"done?","AL","E",NA,"2024_04_15_3ESAL12_P4150119_JPG.rf.f943c5c7216d115634966d97c2ab8a3d.jpg","P4150119.ORF"
"15.04.24","Partly bleached","ESAL013","3ESAL013P",10,"H",3,"done?","AL","E",NA,"2024_04_15_3ESAL13_P4150108_JPG.rf.a26272133760bbfd285ab1b070df1ce3.jpg","P4150108.ORF"
"22.04.24","Partly bleached","ESAL071","3ESAL071P",72,"H",4,"done?","AL","E",NA,"2024_04_22_3ESAL71_P4220744_JPG.rf.fda48133b8c11b297b9f98bb5cd26a8e.jpg","P4220744.ORF"
"22.04.24","Partly bleached","ESAL072","3ESAL072P",73,"H",5,"done?","AL","E",NA,"2024_04_22_3ESAL72_P4220748_JPG.rf.ef6a4e2d7f25092ee730aa6da9e11b0a.jpg","P4220748.ORF"
"22.04.24","Partly bleached","ESAL073","3ESAL073P",74,"H",6,"done?","AL","E",NA,"2024_04_22_3ESAL73_P4220756_JPG.rf.b13894f9b2648688b5b494f3b666db05.jpg","P4220756.ORF"
"22.04.24","Partly bleached","ESAL074","3ESAL074P",75,"H",7,"done?","AL","E",NA,"2024_04_22_3ESAL74_P4220763_JPG.rf.90c9b642922a159130c879818980e695.jpg","P4220763.ORF"
"22.04.24","Partly bleached","ESAL075","3ESAL075P",76,"H",8,"done?","AL","E",NA,"2024_04_22_3ESAL75_P4220772_JPG.rf.205755877b08839c4bf77b1ce5725a56.jpg","P4220772.ORF"
"16.04.24","Partly bleached","ESAL081","3ESAL081P",23,"H",9,"done?","AL","E",NA,"2024_04_16_3ESAL81_P4160183_JPG.rf.a6ac71bec70cd0dd3080391c94261533.jpg","P4160183.ORF"
"16.04.24","Partly bleached","ESAL083","3ESAL083P",21,"H",10,"done?","AL","E",NA,"2024_04_16_3ESAL83_P4160169_JPG.rf.f173ec2669cf8494619febe5a561a3a3.jpg","P4160169.ORF"
"29.04.24","Healthy","ESML004","3ESML004P",154,"H",1,"done?","ML","E",NA,"2024_04_29_3ESML004_P4291522_JPG.rf.56144ab9b6f211435897d6228adbb2ef.jpg","P4291522.ORF"
"02.05.24","Healthy","ESML016","3ESML016P",212,"H",2,"done?","ML","E",NA,"2024_05_02_3ESML016_P5021894_JPG.rf.f834fe5267f4d8e866c8b4b0dbad10c7.jpg","P5021894.ORF"
"30.04.24","Healthy","ESML034","3ESML034P",203,"H",3,"done?","ML","E",NA,"2024_04_30_3ESML034_P4301777_JPG.rf.90ffb8fbb05b11cac69305eb544e90f5.jpg","P4301777.ORF"
"30.04.24","Healthy","ESML057","3ESML057P",200,"H",4,"done?","ML","E",NA,"2024_04_30_3ESML057_P4301764_JPG.rf.7dbfa8d9c3eecb162f750ddddcb150fe.jpg","P4301764.ORF"
"30.04.24","Healthy","ESML058","3ESML058P",201,"H",5,"done?","ML","E",NA,"2024_04_30_3ESML058_P4301767_JPG.rf.8f147d1d62ff11457e472e1e7b4c4ad6.jpg","P4301767.ORF"
"30.04.24","Healthy","ESML059","3ESML059P",202,"H",6,"done?","ML","E",NA,"2024_04_30_3ESML059_P4301771_JPG.rf.7bdeab97aa5cd69ba9454bdea30be2e2.jpg","P4301771.ORF"
"30.04.24","Healthy","ESML060","3ESML060P",204,"H",7,"done?","ML","E",NA,"2024_04_30_3ESML060_P4301782_JPG.rf.cfa7f4ebeac3102b5ad87a1bb27b7074.jpg","P4301782.ORF"
"30.04.24","Healthy","ESML061","3ESML061P",205,"H",8,"done?","ML","E",NA,"2024_04_30_3ESML061_P5021867_JPG.rf.ca8a5aa21ecf3386bce245b3fcc95a30.jpg","P5021867.ORF"
