"sample_id","chl_a_per_cm2","brightness_group","Red","Green","Blue","t","site","depth","spec","size","replicate"
"2ESAL001P",6.66889090489055,"dark",34.0130890052356,39.3900523560209,51.3115183246073,"2","E2B","5 m","A. hya","Adult",1
"2ESAL001P",6.66889090489055,"mid",103.504643962848,112.613003095975,125.047987616099,"2","E2B","5 m","A. hya","Adult",1
"2ESAL001P",6.66889090489055,"bright",166.830508474576,188.457627118644,213.601694915254,"2","E2B","5 m","A. hya","Adult",1
"2ESAL002P",4.53928368147403,"dark",30.6076923076923,42.6307692307692,63.0179487179487,"2","E2B","5 m","A. hya","Adult",2
"2ESAL002P",4.53928368147403,"mid",84.3259361997226,101.805825242718,124.380027739251,"2","E2B","5 m","A. hya","Adult",2
"2ESAL002P",4.53928368147403,"bright",160.89088863892,191.784026996625,217.094488188976,"2","E2B","5 m","A. hya","Adult",2
"2ESAL003P",5.4953255078255,"dark",30.9001264222503,42.0568900126422,49.0745891276865,"2","E2B","5 m","A. hya","Adult",3
"2ESAL003P",5.4953255078255,"mid",101.87054631829,114.285035629454,120.817102137767,"2","E2B","5 m","A. hya","Adult",3
"2ESAL003P",5.4953255078255,"bright",164.136239782016,179.760217983651,198.283378746594,"2","E2B","5 m","A. hya","Adult",3
"2ESAL004P",3.17650133136094,"dark",42.3191800878477,43.6456808199122,47.5797950219619,"2","E2B","5 m","A. hya","Adult",4
"2ESAL004P",3.17650133136094,"mid",106.127837514934,111.338112305854,116.497013142174,"2","E2B","5 m","A. hya","Adult",4
"2ESAL004P",3.17650133136094,"bright",171.33125,186.714583333333,195.789583333333,"2","E2B","5 m","A. hya","Adult",4
"2ESAL005P",3.81192313284477,"dark",44.1691919191919,56.0656565656566,60.4444444444444,"2","E2B","5 m","A. hya","Adult",5
"2ESAL005P",3.81192313284477,"mid",107.46288209607,119.606986899563,121.092576419214,"2","E2B","5 m","A. hya","Adult",5
"2ESAL005P",3.81192313284477,"bright",159.806100217865,184.466230936819,195.947712418301,"2","E2B","5 m","A. hya","Adult",5
"2ESAL006P",6.78595382204003,"dark",39.5532233883058,47.7301349325337,57.8350824587706,"2","E2B","5 m","A. hya","Adult",6
"2ESAL006P",6.78595382204003,"mid",99.4253347064882,111.048403707518,121.40061791967,"2","E2B","5 m","A. hya","Adult",6
"2ESAL006P",6.78595382204003,"bright",163.803867403315,184.646408839779,201.339779005525,"2","E2B","5 m","A. hya","Adult",6
"2ESAL008P",6.38254621896323,"dark",36.3541076487252,48.9036827195467,61.0991501416431,"2","E2B","5 m","A. hya","Adult",8
"2ESAL008P",6.38254621896323,"mid",90.2363184079602,107.805970149254,123.031094527363,"2","E2B","5 m","A. hya","Adult",8
"2ESAL008P",6.38254621896323,"bright",158.161328588375,189.027283511269,211.151838671412,"2","E2B","5 m","A. hya","Adult",8
"2ESAL011P",2.72791061866826,"dark",24.2827657378741,25.562435500516,30.8204334365325,"2","E2B","5 m","A. hya","Adult",11
"2ESAL011P",2.72791061866826,"mid",106.52962962963,118.416666666667,124.35,"2","E2B","5 m","A. hya","Adult",11
"2ESAL011P",2.72791061866826,"bright",169.34693877551,197.265306122449,210.704081632653,"2","E2B","5 m","A. hya","Adult",11
"2ESAL012P",4.35476280910885,"dark",30.9126466753585,41.0026075619296,37.4432855280313,"2","E2B","5 m","A. hya","Adult",12
"2ESAL012P",4.35476280910885,"mid",98.4352941176471,117.043697478992,113.835294117647,"2","E2B","5 m","A. hya","Adult",12
"2ESAL012P",4.35476280910885,"bright",170.826018808777,204.315047021944,213.278996865204,"2","E2B","5 m","A. hya","Adult",12
"2ESAL013P",5.62019669876907,"dark",22.3397260273973,34.0493150684932,51.3328767123288,"2","E2B","5 m","A. hya","Adult",13
"2ESAL013P",5.62019669876907,"mid",84.1947873799726,104.711934156379,124.632373113855,"2","E2B","5 m","A. hya","Adult",13
"2ESAL013P",5.62019669876907,"bright",165.369685767098,193.256931608133,215.682070240296,"2","E2B","5 m","A. hya","Adult",13
"2ESAL015P",2.11654883457644,"dark",48.0620347394541,48.3970223325062,42.9652605459057,"2","E2B","5 m","A. hya","Adult",15
"2ESAL015P",2.11654883457644,"mid",120.915224913495,125.903979238754,118.573529411765,"2","E2B","5 m","A. hya","Adult",15
"2ESAL015P",2.11654883457644,"bright",169.755102040816,183.369614512472,181.179138321995,"2","E2B","5 m","A. hya","Adult",15
